Date,Territory,Pair,Pre post trt,Fertilized,Territory width,Territory length,Territory horizontal area,Territory height,Surface area,Total Fish,Size class count,Fish size,Turf height 1,Turf height 2,Turf height 3,Turf height 4,Turf height 5
14-Jul,28,O,Post-fertilization,N,290,60,1.74,43,7.478433527,6,3,12,1.5,0.4,0.3,1.6,0.4
14-Jul,28,O,Post-fertilization,N,290,60,1.74,43,7.478433527,6,1,10,1.5,0.4,0.3,1.6,0.4
14-Jul,28,O,Post-fertilization,N,290,60,1.74,43,7.478433527,6,2,14,1.5,0.4,0.3,1.6,0.4
14-Jul,29,O,Post-fertilization,Y,150,81,1.215,51,5.263852589,4,2,14,0.4,0.3,0.6,0.4,0.4
14-Jul,29,O,Post-fertilization,Y,150,81,1.215,51,5.263852589,4,1,10,0.4,0.3,0.6,0.4,0.4
14-Jul,29,O,Post-fertilization,Y,150,81,1.215,51,5.263852589,4,1,6,0.4,0.3,0.6,0.4,0.4
14-Jul,30,A,Post-fertilization,N,246,130,3.198,80,13.70073899,9,2,14,0.2,0.4,0.6,1.3,0.2
14-Jul,30,A,Post-fertilization,N,246,130,3.198,80,13.70073899,9,3,12,0.2,0.4,0.6,1.3,0.2
14-Jul,30,A,Post-fertilization,N,246,130,3.198,80,13.70073899,9,2,10,0.2,0.4,0.6,1.3,0.2
14-Jul,30,A,Post-fertilization,N,246,130,3.198,80,13.70073899,9,1,6,0.2,0.4,0.6,1.3,0.2
14-Jul,30,A,Post-fertilization,N,246,130,3.198,80,13.70073899,9,1,8,0.2,0.4,0.6,1.3,0.2
