Date,Territory,Pair,Pre post trt,Fertilized,Territory width,Territory length,Territory horizontal area,Territory height,Surface area,Fish no,Fish ID,Video view time,Time guarding,Prop guarding,Bites,Bite rate,Intra chases,Intra chase rate,Inter chases,Inter chase rate,Other fish bites
17-Jun,28,O,Pre-fertilization,N,218,75,1.635,43,6.619809329,1,28-1,1334,1076,0.806596702,54,3.011152416,5,0.278810409,4,0.223048327,26
17-Jun,28,O,Pre-fertilization,N,218,75,1.635,43,6.619809329,2,28-2,1334,966,0.724137931,30,1.863354037,10,0.621118012,1,0.062111801,45
17-Jun,28,O,Pre-fertilization,N,218,75,1.635,43,6.619809329,3,28-3,1334,1230,0.922038981,35,1.707317073,18,0.878048781,10,0.487804878,7
17-Jun,29,O,Pre-fertilization,Y,179,120,2.148,51,8.338747917,1,29-1,1221,1071,0.877149877,42,2.352941176,10,0.56022409,0,0,0
17-Jun,29,O,Pre-fertilization,Y,179,120,2.148,51,8.338747917,2,29-2,1221,1108,0.907452908,26,1.407942238,8,0.433212996,5,0.270758123,4
17-Jun,29,O,Pre-fertilization,Y,179,120,2.148,51,8.338747917,3,29-3,1221,844,0.691236691,23,1.63507109,7,0.497630332,5,0.355450237,7
17-Jun,29,O,Pre-fertilization,Y,179,120,2.148,51,8.338747917,4,29-4,1221,1015,0.831285831,19,1.123152709,8,0.472906404,3,0.177339902,0
17-Jun,30,A,Pre-fertilization,N,246,130,3.198,80,13.70073899,1,30-1,1125,910,0.808888889,38,2.505494505,6,0.395604396,10,0.659340659,2
6-Jul,1,A,Post-fertilization,Y,135,120,1.62,57,6.751899754,1,1-1,1268,1163,0.917192429,52,2.682717111,7,0.361134996,2,0.103181427,6
6-Jul,2,B,Post-fertilization,Y,215,70,1.505,62,7.247893295,1,2-1,1200,783,0.6525,11,0.842911877,1,0.076628352,14,1.072796935,18
6-Jul,3,B,Post-fertilization,N,120,90,1.08,46,4.504422253,1,3-1,1144,527,0.460664336,12,1.366223909,2,0.227703985,5,0.569259962,0
6-Jul,3,B,Post-fertilization,N,120,90,1.08,46,4.504422253,2,3-2,1144,907,0.792832168,25,1.653803749,6,0.3969129,5,0.33076075,0
6-Jul,4,C,Post-fertilization,Y,178,90,1.602,73,7.703577394,1,4-1,1066,714,0.669793621,22,1.848739496,0,0,1,0.084033613,17
6-Jul,4,C,Post-fertilization,Y,178,90,1.602,73,7.703577394,2,4-2,1066,964,0.904315197,39,2.427385892,1,0.062240664,2,0.124481328,22
6-Jul,5,C,Post-fertilization,N,50,62,0.31,32,1.433400465,1,5-1,1532,955,0.623368146,38,2.387434555,0,0,5,0.314136126,9
6-Jul,6,D,Post-fertilization,N,250,230,5.75,55,20.27087774,1,6-1,1161,710,0.611541774,21,1.774647887,0,0,3,0.253521127,0
6-Jul,7,D,Post-fertilization,Y,152,50,0.76,60,4.329540818,1,7-1,1141,1028,0.900964067,51,2.976653696,0,0,3,0.175097276,21
6-Jul,8,E,Post-fertilization,Y,110,53,0.583,53,3.11178955,1,8-1,1253,1128,0.900239425,49,2.606382979,2,0.106382979,3,0.159574468,0
6-Jul,8,E,Post-fertilization,Y,110,53,0.583,53,3.11178955,2,8-2,1253,867,0.691939346,41,2.837370242,2,0.138408305,9,0.62283737,15
